linux_yum_dnf
=============
::

    Last metadata expiration check: 0:00:01 ago on Mon Dec 28 12:56:38 2020.
    Available Packages
    intel-oneapi-compiler-shared-common-2021.1.1.noarch                                2021.1.1-189  oneAPI
    intel-oneapi-compiler-shared-common-2021.1.2.noarch                                2021.1.2-266  oneAPI
    intel-oneapi-compiler-shared-common-runtime-2021.1.1.noarch                        2021.1.1-189  oneAPI
    intel-oneapi-compiler-shared-common-runtime-2021.1.2.noarch                        2021.1.2-266  oneAPI
    intel-oneapi-compiler-shared-runtime-2021.1.1.x86_64                               2021.1.1-189  oneAPI
    intel-oneapi-compiler-shared-runtime-2021.1.2.x86_64                               2021.1.2-266  oneAPI
    intel-oneapi-compiler-shared-runtime-32bit-2021.1.1.i686                           2021.1.1-189  oneAPI
    intel-oneapi-compiler-shared-runtime-32bit-2021.1.2.i686                           2021.1.2-266  oneAPI
    intel-oneapi-condaindex.x86_64                                                     2021.1.1-58   oneAPI
    intel-oneapi-daal.x86_64                                                           2021.1.1-79   oneAPI
    intel-oneapi-daal-devel.x86_64                                                     2021.1.1-79   oneAPI
    intel-oneapi-dal.x86_64                                                            2021.1.1-79   oneAPI
    intel-oneapi-dal-2021.1.1.x86_64                                                   2021.1.1-79   oneAPI
    intel-oneapi-dal-common-2021.1.1.noarch                                            2021.1.1-79   oneAPI
    intel-oneapi-dal-common-devel-2021.1.1.noarch                                      2021.1.1-79   oneAPI
    intel-oneapi-dal-devel.x86_64                                                      2021.1.1-79   oneAPI
    intel-oneapi-dal-devel-2021.1.1.x86_64                                             2021.1.1-79   oneAPI
    intel-oneapi-dev-utilities.x86_64                                                  2021.1.1-197  oneAPI
    intel-oneapi-dev-utilities-2021.1.1.x86_64                                         2021.1.1-197  oneAPI
    intel-oneapi-dev-utilities-eclipse-cfg.noarch                                      2021.1.1-197  oneAPI
    intel-oneapi-dnnl.x86_64                                                           2021.1.1-55   oneAPI
    intel-oneapi-dnnl-devel.x86_64                                                     2021.1.1-55   oneAPI
    intel-oneapi-dpcpp-cpp-2021.1.1.x86_64                                             2021.1.1-189  oneAPI
    intel-oneapi-dpcpp-cpp-2021.1.2.x86_64                                             2021.1.2-266  oneAPI
    intel-oneapi-dpcpp-ct.x86_64                                                       2021.1.1-59   oneAPI
    intel-oneapi-dpcpp-ct-2021.1.1.x86_64                                              2021.1.1-59   oneAPI
    intel-oneapi-dpcpp-ct-eclipse-cfg.noarch                                           2021.1.1-59   oneAPI
    intel-oneapi-dpcpp-debugger.x86_64                                                 10.0.0-2219   oneAPI
    intel-oneapi-dpcpp-debugger-10.0.0.x86_64                                          10.0.0-2219   oneAPI
    intel-oneapi-dpcpp-debugger-eclipse-cfg.noarch                                     10.0.0-2219   oneAPI
    intel-oneapi-eclipse-ide.x86_64                                                    2021.1.1-52   oneAPI
    intel-oneapi-eclipse-ide-2021.1.1.x86_64                                           2021.1.1-52   oneAPI
    intel-oneapi-embree.x86_64                                                         3.12.0-91     oneAPI
    intel-oneapi-embree-3.12.0.x86_64                                                  3.12.0-91     oneAPI
    intel-oneapi-ilit.x86_64                                                           1.0.0-204     oneAPI
    intel-oneapi-inspector.x86_64                                                      2021.1.1-42   oneAPI
    intel-oneapi-intelfpgadpcpp-a10gx-s10sx.x86_64                                     2021.1.1-1    oneAPI
    intel-oneapi-intelfpgadpcpp-custom-platforms-quartus19.4.x86_64                    2021.1.1-1    oneAPI
    intel-oneapi-intelfpgadpcpp-custom-platforms-quartus19.4-part2.x86_64              2021.1.1-1    oneAPI
    intel-oneapi-intelfpgadpcpp-custom-platforms-quartus20.2.x86_64                    2021.1.1-1    oneAPI
    intel-oneapi-intelfpgadpcpp-custom-platforms-quartus20.2-part2.x86_64              2021.1.1-1    oneAPI
    intel-oneapi-intelfpgadpcpp-custom-platforms-quartus20.3.x86_64                    2021.1.1-1    oneAPI
    intel-oneapi-intelfpgadpcpp-custom-platforms-quartus20.3-part2.x86_64              2021.1.1-1    oneAPI
    intel-oneapi-iot-eclipse-plugins.noarch                                            2021.1.1-69   oneAPI
    intel-oneapi-iot-eclipse-plugins-2021.1.1.noarch                                   2021.1.1-69   oneAPI
    intel-oneapi-iot-eclipse-plugins-cfg.noarch                                        2021.1.1-69   oneAPI
    intel-oneapi-ipp.x86_64                                                            2021.1.1-47   oneAPI
    intel-oneapi-ipp-2021.1.1.x86_64                                                   2021.1.1-47   oneAPI
    intel-oneapi-ipp-32bit.i686                                                        2021.1.1-47   oneAPI
    intel-oneapi-ipp-32bit-2021.1.1.i686                                               2021.1.1-47   oneAPI
    intel-oneapi-ipp-common-2021.1.1.noarch                                            2021.1.1-47   oneAPI
    intel-oneapi-ipp-common-devel-2021.1.1.noarch                                      2021.1.1-47   oneAPI
    intel-oneapi-ipp-devel.x86_64                                                      2021.1.1-47   oneAPI
    intel-oneapi-ipp-devel-2021.1.1.x86_64                                             2021.1.1-47   oneAPI
    intel-oneapi-ipp-devel-32bit.x86_64                                                2021.1.1-47   oneAPI
    intel-oneapi-ipp-devel-32bit-2021.1.1.x86_64                                       2021.1.1-47   oneAPI
    intel-oneapi-ippcp.x86_64                                                          2021.1.1-54   oneAPI
    intel-oneapi-ippcp-2021.1.1.x86_64                                                 2021.1.1-54   oneAPI
    intel-oneapi-ippcp-32bit.i686                                                      2021.1.1-54   oneAPI
    intel-oneapi-ippcp-32bit-2021.1.1.i686                                             2021.1.1-54   oneAPI
    intel-oneapi-ippcp-common-2021.1.1.noarch                                          2021.1.1-54   oneAPI
    intel-oneapi-ippcp-common-devel-2021.1.1.noarch                                    2021.1.1-54   oneAPI
    intel-oneapi-ippcp-devel.x86_64                                                    2021.1.1-54   oneAPI
    intel-oneapi-ippcp-devel-2021.1.1.x86_64                                           2021.1.1-54   oneAPI
    intel-oneapi-ippcp-devel-32bit.x86_64                                              2021.1.1-54   oneAPI
    intel-oneapi-ippcp-devel-32bit-2021.1.1.x86_64                                     2021.1.1-54   oneAPI
    intel-oneapi-itac.x86_64                                                           2021.1.1-42   oneAPI
    intel-oneapi-itac-2021.1.1.x86_64                                                  2021.1.1-42   oneAPI
    intel-oneapi-libdpstd-devel.x86_64                                                 2021.1.2-266  oneAPI
    intel-oneapi-libdpstd-devel-2021.1.1.x86_64                                        2021.1.1-189  oneAPI
    intel-oneapi-libdpstd-devel-2021.1.2.x86_64                                        2021.1.2-266  oneAPI
    intel-oneapi-mkl.x86_64                                                            2021.1.1-52   oneAPI
    intel-oneapi-mkl-2021.1.1.x86_64                                                   2021.1.1-52   oneAPI
    intel-oneapi-mkl-32bit.i686                                                        2021.1.1-52   oneAPI
    intel-oneapi-mkl-32bit-2021.1.1.i686                                               2021.1.1-52   oneAPI
    intel-oneapi-mkl-common-2021.1.1.noarch                                            2021.1.1-52   oneAPI
    intel-oneapi-mkl-common-devel-2021.1.1.noarch                                      2021.1.1-52   oneAPI
    intel-oneapi-mkl-devel.x86_64                                                      2021.1.1-52   oneAPI
    intel-oneapi-mkl-devel-2021.1.1.x86_64                                             2021.1.1-52   oneAPI
    intel-oneapi-mkl-devel-32bit.x86_64                                                2021.1.1-52   oneAPI
    intel-oneapi-mkl-devel-32bit-2021.1.1.x86_64                                       2021.1.1-52   oneAPI
    intel-oneapi-model-zoo.x86_64                                                      1.8.0-204     oneAPI
    intel-oneapi-mpi.x86_64                                                            2021.1.1-76   oneAPI
    intel-oneapi-mpi-2021.1.1.x86_64                                                   2021.1.1-76   oneAPI
    intel-oneapi-mpi-devel.x86_64                                                      2021.1.1-76   oneAPI
    intel-oneapi-mpi-devel-2021.1.1.x86_64                                             2021.1.1-76   oneAPI
    intel-oneapi-oidn.x86_64                                                           1.2.4-116     oneAPI
    intel-oneapi-oidn-1.2.4.x86_64                                                     1.2.4-116     oneAPI
    intel-oneapi-onevpl.x86_64                                                         2021.1.1-66   oneAPI
    intel-oneapi-onevpl-2021.1.1.x86_64                                                2021.1.1-66   oneAPI
    intel-oneapi-onevpl-devel.x86_64                                                   2021.1.1-66   oneAPI
    intel-oneapi-onevpl-devel-2021.1.1.x86_64                                          2021.1.1-66   oneAPI
    intel-oneapi-openmp.x86_64                                                         2021.1.2-266  oneAPI
    intel-oneapi-openmp-2021.1.1.x86_64                                                2021.1.1-189  oneAPI
    intel-oneapi-openmp-2021.1.2.x86_64                                                2021.1.2-266  oneAPI
    intel-oneapi-openmp-32bit.i686                                                     2021.1.2-266  oneAPI
    intel-oneapi-openmp-32bit-2021.1.1.i686                                            2021.1.1-189  oneAPI
    intel-oneapi-openmp-32bit-2021.1.2.i686                                            2021.1.2-266  oneAPI
    intel-oneapi-openmp-common-2021.1.1.noarch                                         2021.1.1-189  oneAPI
    intel-oneapi-openmp-common-2021.1.2.noarch                                         2021.1.2-266  oneAPI
    intel-oneapi-openvkl.x86_64                                                        0.11.0-87     oneAPI
    intel-oneapi-openvkl-0.11.0.x86_64                                                 0.11.0-87     oneAPI
    intel-oneapi-ospray.x86_64                                                         2.4.0-55      oneAPI
    intel-oneapi-ospray-2.4.0.x86_64                                                   2.4.0-55      oneAPI
    intel-oneapi-ospray-studio.x86_64                                                  0.5.0-84      oneAPI
    intel-oneapi-ospray-studio-0.5.0.x86_64                                            0.5.0-84      oneAPI
    intel-oneapi-python.x86_64                                                         2021.1.1-44   oneAPI
